股票代码,股票简称,现价(元),涨跌幅(%),流通股东名称(报告期)2024.06.30,流通股东持股数量(报告期)(股)2024.06.30,流通股东类型(报告期)2024.06.30,流通股东持股比例(报告期)(%)2024.06.30,流通股东持股市值,流通股东排名(报告期)2024.06.30,流通股东持股状态(报告期)2024.06.30
601595.SH,上海电影,18.15,2.02,香港中央结算有限公司,2901736.0,机构,0.65,57396338.08,4,增持
600507.SH,方大特钢,3.62,1.69,香港中央结算有限公司,15355975.0,机构,0.66,57431346.5,4,增持
002782.SZ,可立克,10.09,1.82,香港中央结算有限公司,5191218.0,机构,1.05,57518695.44,3,减持
600305.SH,恒顺醋业,6.98,4.96,香港中央结算有限公司,7957377.0,机构,0.72,57531835.71,5,减持
603989.SH,艾华集团,12.00,2.13,香港中央结算有限公司,4110212.0,机构,1.02,57789580.72,7,增持
002440.SZ,闰土股份,5.53,0.91,香港中央结算有限公司,10679963.0,机构,0.93,57992199.09,10,新进
688336.SH,三生国健,19.10,-0.62,香港中央结算有限公司,2858939.0,机构,0.46,58179408.65,3,减持
301389.SZ,隆扬电子,11.93,2.40,香港中央结算有限公司,3685170.0,机构,1.3,58225686.0,1,新进
000762.SZ,西藏矿业,18.09,1.52,香港中央结算有限公司,3223713.0,机构,0.62,58284731.04,5,减持
301071.SZ,力量钻石,22.41,2.52,香港中央结算有限公司,2103843.0,机构,0.81,58297489.53,7,增持
002664.SZ,信质集团,11.47,3.24,香港中央结算有限公司,4906734.0,机构,1.21,58390134.6,7,减持
002283.SZ,天润工业,4.03,2.03,香港中央结算有限公司,13614260.0,机构,1.19,58405175.4,8,减持
688351.SH,微电生理,17.50,-1.02,香港中央结算有限公司,2653912.0,机构,0.56,58492220.48,7,新进
002354.SZ,天娱数科,2.58,3.20,香港中央结算有限公司,19572086.0,机构,1.18,58520537.14,2,增持
300101.SZ,振芯科技,12.41,2.90,香港中央结算有限公司,3965714.0,机构,0.7,58573595.78,9,减持
300398.SZ,飞凯材料,10.81,1.98,香港中央结算有限公司,4765624.0,机构,0.9,58617175.2,5,减持
688167.SH,炬光科技,40.99,1.56,香港中央结算有限公司,1066712.0,机构,1.18,58669160.0,8,减持
300323.SZ,华灿光电,4.07,2.01,香港中央结算有限公司,13497101.0,机构,0.83,58712389.35,4,减持
002975.SZ,博杰股份,23.64,0.42,香港中央结算有限公司,1966192.0,机构,1.42,58749816.96,8,增持
603043.SH,广州酒家,13.41,2.44,香港中央结算有限公司,3693458.0,机构,0.65,58984524.26,9,减持
600248.SH,陕建股份,3.53,2.02,香港中央结算有限公司,16277747.0,机构,0.43,59088221.61,5,减持
002970.SZ,锐明技术,32.71,0.52,香港中央结算有限公司,1642615.0,机构,0.95,59183418.45,4,减持
600827.SH,百联股份,7.69,5.34,香港中央结算有限公司,8023147.0,机构,0.45,59210824.86,6,减持
688606.SH,奥泰生物,55.39,-1.39,香港中央结算有限公司,1258097.0,机构,1.59,59294111.61,7,减持
002375.SZ,亚厦股份,3.19,3.24,香港中央结算有限公司,18284083.0,机构,1.36,59423269.75,4,增持
000901.SZ,航天科技,9.22,3.71,香港中央结算有限公司,6786993.0,机构,0.85,59454058.68,4,减持
603053.SH,成都燃气,8.15,2.00,香港中央结算有限公司,6158621.0,机构,0.69,59492278.86,4,增持
000906.SZ,浙商中拓,4.50,3.45,香港中央结算有限公司,8832214.0,机构,1.26,59529122.36,6,减持
003000.SZ,劲仔食品,10.77,2.57,香港中央结算有限公司,4952591.0,机构,1.1,59678721.55,10,减持
300613.SZ,富瀚微,31.63,1.90,香港中央结算有限公司,1815333.0,机构,0.79,59742609.03,8,减持
300459.SZ,汤姆猫,3.49,2.95,香港中央结算有限公司,17642428.0,机构,0.5,59807830.92,4,减持
600740.SH,山西焦化,3.58,4.68,香港中央结算有限公司,15266974.0,机构,0.6,59846538.08,6,增持
000031.SZ,大悦城,2.46,3.36,香港中央结算有限公司,25605376.0,机构,0.6,59916579.84,4,增持
300384.SZ,三联虹普,13.20,1.54,香港中央结算有限公司,4574965.0,机构,1.43,60023540.8,5,增持
002051.SZ,中工国际,6.67,3.25,香港中央结算有限公司,8659224.0,机构,0.7,60268199.04,3,减持
000718.SZ,苏宁环球,1.80,4.05,香港中央结算有限公司,35880940.0,机构,1.18,60279979.2,8,新进
300997.SZ,欢乐家,9.98,5.50,香港中央结算有限公司,5112697.0,机构,1.14,60432078.54,5,减持
301205.SZ,联特科技,52.69,1.60,香港中央结算有限公司,965334.0,机构,0.74,60574708.5,7,新进
300397.SZ,天和防务,7.75,2.24,香港中央结算有限公司,6584509.0,机构,1.27,60577482.8,4,增持
600500.SH,中化国际,3.77,3.57,香港中央结算有限公司,17409561.0,机构,0.49,60759367.89,7,增持
000567.SZ,海德股份,4.74,1.50,香港中央结算有限公司,10851984.0,机构,0.56,60879630.24,5,减持
300315.SZ,掌趣科技,4.17,3.22,香港中央结算有限公司,14613788.0,机构,0.53,60939495.96,7,减持
002434.SZ,万里扬,4.89,3.16,香港中央结算有限公司,12440776.0,机构,0.95,60959802.4,7,减持
600664.SH,哈药股份,3.04,2.70,香港中央结算有限公司,23106794.0,机构,0.92,61001936.16,4,减持
000795.SZ,英洛华,5.28,2.52,香港中央结算有限公司,11052073.0,机构,0.97,61228484.42,5,增持
002127.SZ,南极电商,2.63,3.54,香港中央结算有限公司,23551220.0,机构,0.96,61233172.0,6,减持
002041.SZ,登海种业,8.02,4.84,香港中央结算有限公司,7587381.0,机构,0.86,61306038.48,3,增持
002876.SZ,三利谱,18.45,1.77,香港中央结算有限公司,2553439.0,机构,1.47,61588948.68,7,新进
688595.SH,芯海科技,22.78,2.66,香港中央结算有限公司,2055532.0,机构,1.44,61665960.0,7,新进
301155.SZ,海力风电,37.48,0.89,香港中央结算有限公司,1533209.0,机构,0.71,61680998.07,9,减持
000061.SZ,农产品,5.52,2.79,香港中央结算有限公司,12702217.0,机构,0.75,61732774.62,10,减持
603530.SH,神马电力,21.00,-0.38,香港中央结算有限公司,2333091.0,机构,0.54,61803580.59,3,增持
