股票代码,股票简称,现价(元),涨跌幅(%),"基金持股比例(%)2024.06.30",基金持股数量(股)2024.06.30,基金持股市值(元)2024.06.30,基金持股家数(家)2024.06.30,基金持股选股明细
000596.SZ,古井贡酒,140.60,-1.12,23.31,95266302.00,20107858363.14,667,--
688122.SH,西部超导,33.84,-1.77,23.24,150960292.00,5784798389.44,410,--
600975.SH,新五丰,5.10,-1.73,23.20,200565349.00,1417997017.43,110,--
002727.SZ,一心堂,11.16,0.63,23.19,94541193.00,1426626602.37,183,--
301187.SZ,欧圣电气,19.58,0.15,23.15,11085045.00,268812341.25,137,--
301068.SZ,大地海洋,18.45,-2.38,22.89,11732257.00,243327010.18,50,--
688333.SH,铂力特,39.70,-4.11,22.88,62175186.00,3012387761.70,185,--
000423.SZ,东阿阿胶,46.41,2.65,22.87,147292453.00,9220507557.80,500,--
603997.SH,继峰股份,11.74,0.86,22.80,265802508.00,2707188658.19,212,--
688226.SH,威腾电气,14.83,-0.27,22.69,19230913.00,336156359.24,121,--
300002.SZ,神州泰岳,8.98,-0.44,22.64,411781174.00,3343663132.88,453,--
603801.SH,志邦家居,9.09,-0.11,22.53,97847189.00,1279841232.12,163,--
300759.SZ,康龙化成,20.69,-0.48,22.48,321197457.00,5967848751.06,340,--
688002.SH,睿创微纳,26.58,1.61,22.43,100595293.00,2813650345.21,298,--
688083.SH,中望软件,66.76,-1.53,22.42,27200935.00,1975331899.70,176,--
833533.BJ,骏创科技,8.76,-2.99,22.39,8036391.00,97481422.83,27,--
688301.SH,奕瑞科技,84.23,-0.67,22.35,31892811.00,3675008611.53,340,--
600559.SH,老白干酒,16.35,0.62,22.31,201779757.00,3668355982.26,287,--
300811.SZ,铂科新材,37.62,-1.10,22.28,50826206.00,2231270443.40,166,--
000933.SZ,神火股份,14.18,4.19,22.28,498726978.00,10089246764.94,731,--
688377.SH,迪威尔,10.60,4.74,22.22,42819514.00,560935633.40,91,--
002709.SZ,天赐材料,13.24,-3.29,22.22,307697487.00,5403167871.72,401,--
600325.SH,华发股份,5.25,0.96,22.20,570731145.00,3709752442.50,297,--
000680.SZ,山推股份,7.17,6.54,22.19,290250872.00,2690625583.44,298,--
688525.SH,佰维存储,41.13,-0.70,22.14,54904183.00,3513507075.41,277,--
600584.SH,长电科技,27.78,-4.08,22.09,395271524.00,12534060057.75,767,--
300782.SZ,卓胜微,59.10,-0.69,22.08,98774940.00,7678763835.60,579,--
002003.SZ,伟星股份,12.65,0.96,22.06,222906477.00,2797476286.35,306,--
001328.SZ,登康口腔,22.88,3.53,22.04,9486092.00,239998127.60,158,--
601033.SH,永兴股份,12.08,-0.98,22.03,32058318.00,519005350.73,175,--
688361.SH,中科飞测,49.97,0.48,21.98,53674392.00,2538798741.60,263,--
