ts_code,ann_date,end_date,symbol,mkv,amount,stk_mkv_ratio,stk_float_ratio,name
017005.OF,20240718,20240630,600519.SH,5722821.0,3900.0,4.67,0.0,中银价值精选C
163805.OF,20240718,20240630,600519.SH,8518198.95,5805.0,3.51,0.0,中银动态策略A
960011.OF,20240718,20240630,600519.SH,54586908.0,37200.0,6.01,0.0,中银持续增长H
510100.SH,20240718,20240630,600519.SH,450741121.08,307172.0,13.29,0.02,上证50ETF易方达
011618.OF,20240718,20240630,600519.SH,2788041.0,1900.0,5.85,0.0,国投瑞银瑞泰多策略C
161233.SZ,20240718,20240630,600519.SH,2788041.0,1900.0,5.85,0.0,国投瑞泰LOF
517030.SH,20240718,20240630,600519.SH,2201085.0,1500.0,4.36,0.0,沪港深300ETF基金
012875.OF,20240718,20240630,600519.SH,35145457.89,23951.0,13.29,0.0,易方达上证50C
167508.SZ,20240718,20240630,600519.SH,7043472.0,4800.0,5.27,0.0,安信价值发现定开
563000.SH,20240718,20240630,600519.SH,326715850.89,222651.0,6.48,0.02,中国A50ETF
159593.SZ,20240718,20240630,600519.SH,467862627.6,318840.0,9.39,0.03,中证A50指数ETF
502048.SH,20240718,20240630,600519.SH,35145457.89,23951.0,13.29,0.0,上证50LOF
517010.SH,20240718,20240630,600519.SH,1467390.0,1000.0,2.94,0.0,沪港深500ETF指数
512090.SH,20240718,20240630,600519.SH,21277155.0,14500.0,5.17,0.0,MSCIA股ETF易方达
563080.SH,20240718,20240630,600519.SH,300288156.99,204641.0,9.3,0.02,中证A50ETF易方达
510310.SH,20240718,20240630,600519.SH,7227080641.14,4925126.0,5.18,0.39,沪深300ETF易方达
161607.SZ,20240718,20240630,600519.SH,32317797.36,22024.0,7.83,0.0,巨潮100LOF
004874.OF,20240718,20240630,600519.SH,32317797.36,22024.0,7.83,0.0,融通巨潮100C
016690.OF,20240718,20240630,600519.SH,71982816.45,49055.0,2.94,0.0,鹏华沪深300指数增强C
161131.SZ,20240718,20240630,600519.SH,77036507.61,52499.0,7.68,0.0,易方达科润LOF
510050.SH,20240718,20240630,600519.SH,14793373426.41,10081419.0,13.29,0.8,上证50ETF
009810.OF,20240718,20240630,600519.SH,4695648.0,3200.0,6.77,0.0,易方达悦通一年持有A
009811.OF,20240718,20240630,600519.SH,4695648.0,3200.0,6.77,0.0,易方达悦通一年持有C
011348.OF,20240718,20240630,600519.SH,2054346.0,1400.0,9.93,0.0,易方达宁易一年持有C
011347.OF,20240718,20240630,600519.SH,2054346.0,1400.0,9.93,0.0,易方达宁易一年持有A
005875.OF,20240718,20240630,600519.SH,115483593.0,78700.0,3.53,0.01,易方达中盘成长
012206.OF,20240718,20240630,600519.SH,2934780.0,2000.0,6.09,0.0,中泰沪深300指数量化优选A
012207.OF,20240718,20240630,600519.SH,2934780.0,2000.0,6.09,0.0,中泰沪深300指数量化优选C
010536.OF,20240718,20240630,600519.SH,54331582.14,37026.0,7.25,0.0,泰康优势企业A
007538.OF,20240718,20240630,600519.SH,29934756.0,20400.0,5.17,0.0,永赢沪深300A
007539.OF,20240718,20240630,600519.SH,29934756.0,20400.0,5.17,0.0,永赢沪深300C
160624.OF,20240718,20240630,600519.SH,12913032.0,8800.0,6.64,0.0,鹏华消费领先
161837.SZ,20240718,20240630,600519.SH,15429605.85,10515.0,4.36,0.0,银华大盘定开
515170.SH,20240718,20240630,600519.SH,388356502.62,264658.0,14.99,0.02,食品饮料ETF
501088.SH,20240718,20240630,600519.SH,38940128.43,26537.0,7.69,0.0,嘉实瑞虹
016479.OF,20240718,20240630,600519.SH,256072761.51,174509.0,8.83,0.01,易方达裕丰回报C
000171.OF,20240718,20240630,600519.SH,256072761.51,174509.0,8.83,0.01,易方达裕丰回报A
001441.OF,20240718,20240630,600519.SH,5282604.0,3600.0,4.25,0.0,易方达瑞信I
001442.OF,20240718,20240630,600519.SH,5282604.0,3600.0,4.25,0.0,易方达瑞信E
001314.OF,20240718,20240630,600519.SH,7483689.0,5100.0,12.31,0.0,易方达新益I
001315.OF,20240718,20240630,600519.SH,7483689.0,5100.0,12.31,0.0,易方达新益E
010537.OF,20240718,20240630,600519.SH,54331582.14,37026.0,7.25,0.0,泰康优势企业C
010874.OF,20240718,20240630,600519.SH,64565160.0,44000.0,7.22,0.0,泰康品质生活A
010875.OF,20240718,20240630,600519.SH,64565160.0,44000.0,7.22,0.0,泰康品质生活C
070006.OF,20240718,20240630,600519.SH,83515034.46,56914.0,12.09,0.0,嘉实服务增值行业
160627.OF,20240718,20240630,600519.SH,25754161.89,17551.0,8.55,0.0,鹏华策略优选
000845.OF,20240718,20240630,600519.SH,1027173.0,700.0,6.41,0.0,国投瑞银信息消费A
517170.SH,20240718,20240630,600519.SH,880434.0,600.0,3.07,0.0,沪港深ETF
011893.OF,20240718,20240630,600519.SH,75673302.3,51570.0,10.65,0.0,易方达长期价值A
011894.OF,20240718,20240630,600519.SH,75673302.3,51570.0,10.65,0.0,易方达长期价值C
001443.OF,20240718,20240630,600519.SH,5869560.0,4000.0,7.83,0.0,易方达瑞选I
001444.OF,20240718,20240630,600519.SH,5869560.0,4000.0,7.83,0.0,易方达瑞选E
010196.OF,20240718,20240630,600519.SH,431144127.63,293817.0,10.57,0.02,易方达核心优势A
010197.OF,20240718,20240630,600519.SH,431144127.63,293817.0,10.57,0.02,易方达核心优势C
