ts_code,symbol,name,industry,market,list_date,circ_mv
300862.SZ,300862,蓝盾光电,电器仪表,创业板,2020-08-24,301881.717
300863.SZ,300863,卡倍亿,汽车配件,创业板,2020-08-24,482978.3356
300866.SZ,300866,安克创新,元器件,创业板,2020-08-24,1982632.0148
300869.SZ,300869,康泰医学,医疗保健,创业板,2020-08-24,330058.57
300870.SZ,300870,欧陆通,电气设备,创业板,2020-08-24,404294.0
300872.SZ,300872,天阳科技,软件服务,创业板,2020-08-24,371789.827
300880.SZ,300880,迦南智能,电器仪表,创业板,2020-09-01,358809.0106
300882.SZ,300882,万胜智能,电器仪表,创业板,2020-09-10,345159.8283
300888.SZ,300888,稳健医疗,医疗保健,创业板,2020-09-17,466243.137
300893.SZ,300893,松原股份,汽车配件,创业板,2020-09-24,317469.1438
300894.SZ,300894,火星人,家用电器,创业板,2020-12-31,339357.2451
300895.SZ,300895,铜牛信息,软件服务,创业板,2020-09-24,345845.1518
300896.SZ,300896,爱美客,医疗保健,创业板,2020-09-28,2931007.6221
300900.SZ,300900,广联航空,航空,创业板,2020-10-29,347097.6444
300910.SZ,300910,瑞丰新材,化工原料,创业板,2020-11-27,790844.0982
300913.SZ,300913,兆龙互连,通信设备,创业板,2020-12-07,579031.7382
300917.SZ,300917,特发服务,房产服务,创业板,2020-12-21,523731.0
300919.SZ,300919,中伟股份,电气设备,创业板,2020-12-23,2679413.4239
300925.SZ,300925,法本信息,软件服务,创业板,2020-12-30,337336.9099
300926.SZ,300926,博俊科技,汽车配件,创业板,2021-01-07,502721.4733
300939.SZ,300939,秋田微,元器件,创业板,2021-01-28,324240.0
