ts_code,symbol,name,industry,market,list_date,circ_mv
002317.SZ,002317,众生药业,中成药,主板,2009-12-11,945928.8183
002318.SZ,002318,久立特材,特种钢,主板,2009-12-11,2046054.7988
002320.SZ,002320,海峡股份,水运,主板,2009-12-16,1188021.3887
002326.SZ,002326,永太科技,化工原料,主板,2009-12-22,717144.1488
002332.SZ,002332,仙琚制药,化学制药,主板,2010-01-12,1228273.5516
002335.SZ,002335,科华数据,电气设备,主板,2010-01-13,871802.3681
002340.SZ,002340,格林美,小金属,主板,2010-01-22,3326907.5392
002352.SZ,002352,顺丰控股,仓储物流,主板,2010-02-05,20437295.1022
002353.SZ,002353,杰瑞股份,化工机械,主板,2010-02-05,2087240.4487
002368.SZ,002368,太极股份,软件服务,主板,2010-03-12,1157323.9591
002371.SZ,002371,北方华创,半导体,主板,2010-03-16,17740529.3696
002372.SZ,002372,伟星新材,其他建材,主板,2010-03-18,2010663.035
002373.SZ,002373,千方科技,软件服务,主板,2010-03-18,1181975.7601
002378.SZ,002378,章源钨业,小金属,主板,2010-03-31,746930.99
002384.SZ,002384,东山精密,元器件,主板,2010-04-09,2972273.7741
002385.SZ,002385,大北农,饲料,主板,2010-04-09,1447641.1709
002387.SZ,002387,维信诺,元器件,主板,2010-04-13,949621.2092
002389.SZ,002389,航天彩虹,航空,主板,2010-04-13,1538748.4327
002396.SZ,002396,星网锐捷,通信设备,主板,2010-06-23,891835.5451
002399.SZ,002399,海普瑞,化学制药,主板,2010-05-06,1297089.7722
002400.SZ,002400,省广集团,广告包装,主板,2010-05-06,890700.9429
002402.SZ,002402,和而泰,元器件,主板,2010-05-11,844466.8118
002405.SZ,002405,四维图新,软件服务,主板,2010-05-18,1999889.1539
002407.SZ,002407,多氟多,化工原料,主板,2010-05-18,1229397.9875
002408.SZ,002408,齐翔腾达,化工原料,主板,2010-05-18,1460850.3236
002409.SZ,002409,雅克科技,半导体,主板,2010-05-25,1777356.9283
002410.SZ,002410,广联达,软件服务,主板,2010-05-25,1952105.6903
002414.SZ,002414,高德红外,电器仪表,主板,2010-07-16,2307657.8406
002415.SZ,002415,海康威视,IT设备,主板,2010-05-28,27035710.553
002416.SZ,002416,爱施德,电器连锁,主板,2010-05-28,1259397.5288
002422.SZ,002422,科伦药业,化学制药,主板,2010-06-03,3880183.0702
002423.SZ,002423,中粮资本,多元金融,主板,2010-06-03,2488434.021
002428.SZ,002428,云南锗业,小金属,主板,2010-06-08,830008.2794
002429.SZ,002429,兆驰股份,家用电器,主板,2010-06-10,2257642.176
002430.SZ,002430,杭氧股份,化工机械,主板,2010-06-10,2087021.429
002432.SZ,002432,九安医疗,医疗保健,主板,2010-06-10,1825527.2573
002434.SZ,002434,万里扬,汽车配件,主板,2010-06-18,721237.5775
002436.SZ,002436,兴森科技,元器件,主板,2010-06-18,1453899.4557
002439.SZ,002439,启明星辰,软件服务,主板,2010-06-23,1131881.8848
002444.SZ,002444,巨星科技,轻工机械,主板,2010-07-13,3280348.0962
002456.SZ,002456,欧菲光,元器件,主板,2010-08-03,2942096.8067
002459.SZ,002459,晶澳科技,电气设备,主板,2010-08-10,4074202.3883
002460.SZ,002460,赣锋锂业,小金属,主板,2010-08-10,3788134.1087
002461.SZ,002461,珠江啤酒,啤酒,主板,2010-08-18,1987568.975
002463.SZ,002463,沪电股份,元器件,主板,2010-08-18,6989989.6567
002465.SZ,002465,海格通信,通信设备,主板,2010-08-31,2358779.5172
002466.SZ,002466,天齐锂业,小金属,主板,2010-08-31,4724118.4
002468.SZ,002468,申通快递,仓储物流,主板,2010-09-08,1612901.3552
002472.SZ,002472,双环传动,汽车配件,主板,2010-09-10,1880554.1185
002475.SZ,002475,立讯精密,元器件,主板,2010-09-15,29095996.6743
002484.SZ,002484,江海股份,元器件,主板,2010-09-29,1154879.6371
002487.SZ,002487,大金重工,电气设备,主板,2010-10-15,1318623.3559
002488.SZ,002488,金固股份,汽车配件,主板,2010-10-21,725026.1912
002493.SZ,002493,荣盛石化,化纤,主板,2010-11-02,9165841.4063
002497.SZ,002497,雅化集团,小金属,主板,2010-11-09,1041935.1757
002498.SZ,002498,汉缆股份,电气设备,主板,2010-11-09,1067901.516
002500.SZ,002500,山西证券,证券,主板,2010-11-15,2153862.9282
002506.SZ,002506,协鑫集成,电气设备,主板,2010-11-18,1228166.3312
002507.SZ,002507,涪陵榨菜,食品,主板,2010-11-23,1650990.1581
002508.SZ,002508,老板电器,家用电器,主板,2010-11-23,2000727.7011
002511.SZ,002511,中顺洁柔,造纸,主板,2010-11-25,924145.7476
002517.SZ,002517,恺英网络,互联网,主板,2010-12-07,2069312.5975
002518.SZ,002518,科士达,电气设备,主板,2010-12-07,1026399.4118
