ts_code,MA120,MA250,PC120,PC250,250RPS_Rank,250RPS,120RPS_Rank,120RPS
603808.SH,7.11,8.69,-0.16209,-0.47971,4191.0,13.54,2653.0,45.27
603809.SH,9.27,10.03,-0.20044,-0.27944,2366.0,51.2,3141.0,35.2
603810.SH,9.59,11.28,-0.20346,-0.40816,3651.0,24.68,3171.0,34.59
603811.SH,7.15,8.73,-0.15444,-0.41023,3668.0,24.33,2550.0,47.4
603813.SH,10.66,13.01,-0.15556,-0.39563,3534.0,27.09,2565.0,47.09
603815.SH,6.24,6.91,-0.20501,-0.28652,2437.0,49.73,3184.0,34.32
603816.SH,32.07,35.05,-0.3748,-0.42809,3826.0,21.07,4450.0,8.19
603817.SH,5.04,5.58,-0.08103,-0.29439,2520.0,48.02,1613.0,66.74
603818.SH,3.12,4.15,-0.43257,-0.59381,4671.0,3.63,4639.0,4.29
603819.SH,11.21,12.38,-0.26451,-0.34199,3007.0,37.97,3727.0,23.11
603822.SH,20.95,24.71,0.121,-0.30813,2653.0,45.27,341.0,92.98
603823.SH,9.43,9.42,0.24056,-0.12178,1066.0,78.02,129.0,97.36
603825.SH,9.0,10.46,-0.37043,-0.36161,3191.0,34.17,4430.0,8.61
603826.SH,37.84,45.64,-0.31281,-0.35999,3175.0,34.5,4106.0,15.29
603829.SH,12.44,13.47,-0.05302,-0.20261,1626.0,66.47,1284.0,73.52
603833.SH,58.4,69.51,-0.36372,-0.55399,4553.0,6.07,4403.0,9.16
603836.SH,12.61,13.77,-0.03304,-0.26309,2195.0,54.73,1100.0,77.32
603838.SH,5.38,5.94,-0.1617,-0.39291,3506.0,27.67,2645.0,45.44
603839.SH,4.98,6.09,-0.31057,-0.44503,3948.0,18.55,4088.0,15.66
603843.SH,2.79,3.14,0.12775,-0.3679,3258.0,32.79,319.0,93.44
603848.SH,13.82,14.58,-0.13079,-0.19905,1590.0,67.21,2223.0,54.15
603855.SH,21.06,20.27,-0.14065,-0.23217,1872.0,61.39,2336.0,51.82
603856.SH,10.44,11.14,-0.04434,-0.19858,1583.0,67.35,1199.0,75.28
603858.SH,15.93,16.58,-0.13534,-0.19839,1579.0,67.44,2273.0,53.12
603859.SH,28.33,33.36,-0.61889,-0.63576,4752.0,1.96,4834.0,0.27
603860.SH,27.57,28.31,-0.12025,-0.12152,1063.0,78.09,2076.0,57.18
603861.SH,8.18,8.77,-0.07187,-0.14595,1205.0,75.15,1494.0,69.19
603863.SH,30.32,31.68,-0.39967,0.22972,214.0,95.6,4537.0,6.4
603866.SH,5.84,6.94,-0.18665,-0.44742,3963.0,18.24,2983.0,38.46
603867.SH,24.53,27.32,-0.18324,-0.39339,3507.0,27.65,2939.0,39.37
603868.SH,43.44,49.63,-0.26344,-0.51596,4403.0,9.16,3718.0,23.3
603871.SH,22.07,19.9,-0.33048,-0.0857,868.0,82.11,4218.0,12.98
603876.SH,9.7,11.3,-0.07298,-0.49315,4276.0,11.78,1506.0,68.94
603877.SH,14.79,15.77,-0.18633,-0.35835,3164.0,34.73,2980.0,38.53
603878.SH,7.39,7.41,-0.27567,-0.35139,3100.0,36.05,3823.0,21.13
603880.SH,3.71,4.19,-0.14005,-0.22049,1771.0,63.48,2329.0,51.96
603881.SH,15.81,17.86,-0.33032,-0.41469,3708.0,23.5,4217.0,13.0
603882.SH,37.17,49.41,-0.51779,-0.56557,4591.0,5.28,4788.0,1.22
603883.SH,25.22,26.65,-0.57218,-0.53716,4493.0,7.3,4817.0,0.62
603885.SH,11.86,12.75,-0.18695,-0.37797,3355.0,30.79,2988.0,38.36
603886.SH,15.46,16.83,-0.26667,-0.35596,3139.0,35.25,3745.0,22.74
603887.SH,5.38,6.51,0.05302,-0.26904,2256.0,53.47,558.0,88.51
603888.SH,22.01,24.49,-0.24582,-0.30824,2654.0,45.25,3578.0,26.19
603889.SH,7.13,7.24,-0.14168,-0.22195,1783.0,63.23,2353.0,51.47
603890.SH,8.95,9.26,-0.06877,0.06995,411.0,91.54,1449.0,70.12
603893.SH,56.62,58.94,-0.01762,-0.20852,1670.0,65.56,988.0,79.63
603895.SH,18.31,21.27,-0.27204,-0.31245,2703.0,44.24,3793.0,21.75
603896.SH,24.81,30.04,-0.2287,-0.46777,4093.0,15.56,3412.0,29.61
603897.SH,18.46,18.21,0.02298,-0.02908,674.0,86.11,721.0,85.14
603898.SH,8.22,9.35,-0.19635,-0.31717,2738.0,43.52,3096.0,36.13
603899.SH,33.34,35.05,-0.22674,-0.38277,3414.0,29.57,3392.0,30.02
603900.SH,5.63,5.91,0.10987,-0.24772,2027.0,58.19,372.0,92.34
603901.SH,7.76,9.59,-0.4039,-0.52782,4450.0,8.19,4552.0,6.09
603903.SH,7.35,8.53,-0.267,-0.38282,3415.0,29.55,3750.0,22.64
603906.SH,8.52,10.23,-0.28889,-0.52941,4462.0,7.94,3931.0,18.9
603908.SH,26.93,32.63,-0.36385,-0.54085,4511.0,6.93,4404.0,9.14
603909.SH,8.89,10.2,-0.20496,-0.42422,3798.0,21.65,3183.0,34.34
603912.SH,6.66,7.68,-0.31579,-0.36621,3238.0,33.2,4127.0,14.86
603915.SH,11.8,13.9,-0.39008,-0.51529,4401.0,9.2,4510.0,6.95
603916.SH,7.63,9.32,-0.12575,-0.42969,3838.0,20.82,2150.0,55.65
603917.SH,12.35,15.12,-0.29831,-0.45076,3980.0,17.89,4006.0,17.35
603918.SH,12.14,16.56,-0.46983,-0.64392,4761.0,1.77,4717.0,2.68
603919.SH,19.71,22.42,-0.15619,-0.32469,2823.0,41.77,2570.0,46.99
603920.SH,19.2,17.95,-0.03485,0.1617,285.0,94.14,1116.0,76.99
603922.SH,23.19,23.88,-0.41167,-0.25647,2114.0,56.4,4581.0,5.49
603926.SH,8.85,9.89,-0.12215,-0.22946,1842.0,62.01,2098.0,56.73
603927.SH,21.52,26.17,-0.45384,-0.5243,4433.0,8.54,4685.0,3.34
603928.SH,9.51,10.75,-0.22737,-0.38526,3442.0,28.99,3403.0,29.8
603929.SH,23.66,21.96,0.14202,0.37964,117.0,97.61,276.0,94.33
603931.SH,20.77,23.61,-0.17277,-0.30245,2596.0,46.45,2806.0,42.12
603933.SH,13.57,14.6,-0.27762,-0.23562,1912.0,60.57,3849.0,20.59
603936.SH,7.72,8.84,-0.06887,-0.33991,2987.0,38.38,1451.0,70.08
603937.SH,8.59,10.28,-0.15343,-0.35756,3159.0,34.83,2534.0,47.73
603938.SH,12.4,14.75,-0.2765,-0.4673,4092.0,15.58,3837.0,20.84
603939.SH,33.22,35.23,-0.49708,-0.49142,4266.0,11.99,4759.0,1.82
603948.SH,17.89,20.08,-0.20369,-0.35387,3115.0,35.74,3175.0,34.5
603949.SH,12.55,16.88,-0.29176,-0.44681,3959.0,18.32,3952.0,18.47
603950.SH,14.24,14.32,-0.19074,-0.08658,871.0,82.05,3015.0,37.8
603955.SH,10.16,12.55,-0.34786,-0.52897,4461.0,7.97,4314.0,11.0
603956.SH,5.86,6.75,-0.28201,-0.32749,2851.0,41.19,3883.0,19.89
603958.SH,9.77,9.8,-0.34466,0.15031,299.0,93.85,4301.0,11.27
603960.SH,24.08,20.34,-0.55225,0.03753,494.0,89.83,4806.0,0.85
603966.SH,7.42,7.86,-0.07832,-0.29292,2502.0,48.39,1570.0,67.62
603967.SH,9.25,9.38,0.02577,-0.11534,1029.0,78.79,702.0,85.53
603968.SH,10.71,12.56,-0.16651,-0.47066,4112.0,15.17,2719.0,43.91
603969.SH,5.14,5.24,-0.22161,-0.10338,958.0,80.25,3342.0,31.06
603970.SH,16.71,16.52,-0.22455,-0.2662,2229.0,54.02,3376.0,30.35
603976.SH,14.77,16.89,0.06672,-0.23624,1920.0,60.4,504.0,89.62
603977.SH,10.92,9.98,-0.05328,0.16238,282.0,94.2,1286.0,73.48
603978.SH,10.24,12.96,-0.09235,-0.4263,3813.0,21.34,1733.0,64.26
603979.SH,49.6,43.26,-0.14331,0.18603,253.0,94.8,2372.0,51.07
603980.SH,3.72,4.08,0.0,-0.24834,2037.0,57.99,857.0,82.34
603982.SH,9.02,11.55,-0.2664,-0.46945,4102.0,15.37,3742.0,22.8
603983.SH,27.58,27.24,-0.29406,-0.21324,1717.0,64.59,3968.0,18.14
603985.SH,15.04,21.89,-0.50026,-0.61792,4721.0,2.6,4767.0,1.65
